source,target,strength,date,type
TRUFFLE,COMMUNITY,0.00592,2015,A
TRUFFLE,CADIZ,0.02309,2015,A
TRUFFLE,OASIS,0.02683,2015,A
TRUFFLE,ABSA,0.58358,2015,A
TRUFFLE,ASHBURTON,0.01981,2015,A
TRUFFLE,MOMENTUM,0.103,2015,A
TRUFFLE,PRIME,0.00812,2015,A
TRUFFLE,CARTESIAN,0.00651,2015,A
TRUFFLE,GLACIER,0.02842,2015,A
TRUFFLE,COLOURFIELD,0.00877,2015,A
TRUFFLE,PRESCIENT,0.02696,2015,A
TRUFFLE,HOLLARD,0.00742,2015,A
TRUFFLE,CITADEL,0.00689,2015,A
TRUFFLE,PRUDENTIAL,1.05367,2015,A
TRUFFLE,CORONATION,0.06156,2015,A
TRUFFLE,INV,0.00749,2015,A
TRUFFLE,PSG,0.02216,2015,A
TRUFFLE,US,0.01794,2015,A
TRUFFLE,INVESTEC,0.15741,2015,A
TRUFFLE,NEDBANK,0.11412,2015,A
SELECT,BCI,0.00452,2015,A
SELECT,STANLIB,0.26532,2015,A
SELECT,RECM,0.01987,2015,A
SELECT,EFFICIENT,0.00361,2015,A
SELECT,SIM,0.04701,2015,A
SELECT,GRYPHON,0.00836,2015,A
SELECT,TRUFFLE,0.0067,2015,A
SELECT,DISCOVERY,0.0098,2015,A
SELECT,OLD,0.1294,2015,A
SELECT,MARRIOT,0.00672,2015,A
SELECT,NEWFUNDS,0.00729,2015,A
SELECT,PIC,0.00357,2015,A
SELECT,ALLAN,0.04411,2015,A
SELECT,COMMUNITY,0.0036,2015,A
SELECT,CADIZ,0.02195,2015,A
SELECT,OASIS,0.02678,2015,A
SELECT,ABSA,0.58357,2015,A
SELECT,ASHBURTON,0.02026,2015,A
SELECT,MOMENTUM,0.10266,2015,A
SELECT,PRIME,0.00725,2015,A
SELECT,CARTESIAN,0.00492,2015,A
SELECT,GLACIER,0.02817,2015,A
SELECT,COLOURFIELD,0.00821,2015,A
SELECT,PRESCIENT,0.02643,2015,A
SELECT,HOLLARD,0.00623,2015,A
SELECT,CITADEL,0.00493,2015,A
SELECT,PRUDENTIAL,1.05366,2015,A
SELECT,CORONATION,0.06246,2015,A
SELECT,INV,0.00582,2015,A
SELECT,PSG,0.02185,2015,A
SELECT,US,0.01729,2015,A
SELECT,INVESTEC,0.15858,2015,A
SELECT,NEDBANK,0.11435,2015,A
DISCOVERY,BCI,0.00971,2015,A
DISCOVERY,STANLIB,0.26467,2015,A
DISCOVERY,RECM,0.02035,2015,A
DISCOVERY,EFFICIENT,0.00913,2015,A
DISCOVERY,SIM,0.04767,2015,A
DISCOVERY,GRYPHON,0.01181,2015,A
DISCOVERY,TRUFFLE,0.00994,2015,A
DISCOVERY,SELECT,0.0098,2015,A
DISCOVERY,OLD,0.12953,2015,A
DISCOVERY,MARRIOT,0.01084,2015,A
DISCOVERY,NEWFUNDS,0.01085,2015,A
DISCOVERY,PIC,0.00927,2015,A
DISCOVERY,ALLAN,0.04461,2015,A
DISCOVERY,COMMUNITY,0.00932,2015,A
DISCOVERY,CADIZ,0.02424,2015,A
DISCOVERY,OASIS,0.02701,2015,A
DISCOVERY,ABSA,0.58362,2015,A
DISCOVERY,ASHBURTON,0.02175,2015,A
DISCOVERY,MOMENTUM,0.10324,2015,A
DISCOVERY,PRIME,0.01116,2015,A
DISCOVERY,CARTESIAN,0.00983,2015,A
DISCOVERY,GLACIER,0.02899,2015,A
DISCOVERY,COLOURFIELD,0.01177,2015,A
DISCOVERY,PRESCIENT,0.02756,2015,A
DISCOVERY,HOLLARD,0.01045,2015,A
DISCOVERY,CITADEL,0.00997,2015,A
DISCOVERY,PRUDENTIAL,1.05359,2015,A
DISCOVERY,CORONATION,0.0613,2015,A
DISCOVERY,INV,0.0104,2015,A
DISCOVERY,PSG,0.02351,2015,A
DISCOVERY,US,0.019,2015,A
DISCOVERY,INVESTEC,0.15245,2015,A
DISCOVERY,NEDBANK,0.11459,2015,A
OLD,BCI,0.12943,2015,A
OLD,STANLIB,0.29463,2015,A
OLD,RECM,0.13091,2015,A
OLD,EFFICIENT,0.12941,2015,A
OLD,SIM,0.13765,2015,A
OLD,GRYPHON,0.12962,2015,A
OLD,TRUFFLE,0.12953,2015,A
OLD,SELECT,0.1294,2015,A
OLD,DISCOVERY,0.12953,2015,A
OLD,MARRIOT,0.12953,2015,A
OLD,NEWFUNDS,0.12955,2015,A
OLD,PIC,0.1294,2015,A
OLD,ALLAN,0.13664,2015,A
OLD,COMMUNITY,0.12929,2015,A
OLD,CADIZ,0.13116,2015,A
OLD,OASIS,0.13046,2015,A
OLD,ABSA,0.59768,2015,A
OLD,ASHBURTON,0.13093,2015,A
OLD,MOMENTUM,0.16483,2015,A
OLD,PRIME,0.12954,2015,A
OLD,CARTESIAN,0.12945,2015,A
OLD,GLACIER,0.13185,2015,A
OLD,COLOURFIELD,0.12962,2015,A
OLD,PRESCIENT,0.13138,2015,A
OLD,HOLLARD,0.12942,2015,A
OLD,CITADEL,0.12945,2015,A
OLD,PRUDENTIAL,1.06157,2015,A
OLD,CORONATION,0.14174,2015,A
OLD,INV,0.12948,2015,A
OLD,PSG,0.13087,2015,A
OLD,US,0.13027,2015,A
OLD,INVESTEC,0.20087,2015,A
OLD,NEDBANK,0.17271,2015,A
MARRIOT,BCI,0.00634,2015,A
MARRIOT,STANLIB,0.26483,2015,A
MARRIOT,RECM,0.01983,2015,A
MARRIOT,EFFICIENT,0.00581,2015,A
MARRIOT,SIM,0.04726,2015,A
MARRIOT,GRYPHON,0.00913,2015,A
MARRIOT,TRUFFLE,0.00742,2015,A
MARRIOT,SELECT,0.00672,2015,A
MARRIOT,DISCOVERY,0.01084,2015,A
MARRIOT,OLD,0.12953,2015,A
MARRIOT,NEWFUNDS,0.00766,2015,A
MARRIOT,PIC,0.00563,2015,A
MARRIOT,ALLAN,0.04432,2015,A
MARRIOT,COMMUNITY,0.00577,2015,A
MARRIOT,CADIZ,0.02328,2015,A
MARRIOT,OASIS,0.02702,2015,A
MARRIOT,ABSA,0.58357,2015,A
MARRIOT,ASHBURTON,0.02021,2015,A
MARRIOT,MOMENTUM,0.10304,2015,A
MARRIOT,PRIME,0.0084,2015,A
MARRIOT,CARTESIAN,0.00667,2015,A
MARRIOT,GLACIER,0.02852,2015,A
MARRIOT,COLOURFIELD,0.00917,2015,A
MARRIOT,PRESCIENT,0.02693,2015,A
MARRIOT,HOLLARD,0.0077,2015,A
MARRIOT,CITADEL,0.00664,2015,A
MARRIOT,PRUDENTIAL,1.05367,2015,A
MARRIOT,CORONATION,0.06238,2015,A
MARRIOT,INV,0.00737,2015,A
MARRIOT,PSG,0.02209,2015,A
MARRIOT,US,0.01731,2015,A
MARRIOT,INVESTEC,0.15871,2015,A
MARRIOT,NEDBANK,0.11447,2015,A
NEWFUNDS,BCI,0.00679,2015,A
NEWFUNDS,STANLIB,0.26352,2015,A
NEWFUNDS,RECM,0.01854,2015,A
NEWFUNDS,EFFICIENT,0.00623,2015,A
NEWFUNDS,SIM,0.04726,2015,A
NEWFUNDS,GRYPHON,0.00857,2015,A
NEWFUNDS,TRUFFLE,0.00633,2015,A
NEWFUNDS,SELECT,0.00729,2015,A
NEWFUNDS,DISCOVERY,0.01085,2015,A
NEWFUNDS,OLD,0.12955,2015,A
NEWFUNDS,MARRIOT,0.00766,2015,A
NEWFUNDS,PIC,0.00598,2015,A
NEWFUNDS,ALLAN,0.04412,2015,A
NEWFUNDS,COMMUNITY,0.00638,2015,A
NEWFUNDS,CADIZ,0.02329,2015,A
NEWFUNDS,OASIS,0.02706,2015,A
NEWFUNDS,ABSA,0.58356,2015,A
NEWFUNDS,ASHBURTON,0.01873,2015,A
NEWFUNDS,MOMENTUM,0.103,2015,A
NEWFUNDS,PRIME,0.00852,2015,A
NEWFUNDS,CARTESIAN,0.0071,2015,A
NEWFUNDS,GLACIER,0.02855,2015,A
NEWFUNDS,COLOURFIELD,0.00863,2015,A
NEWFUNDS,PRESCIENT,0.02713,2015,A
